,id,caption
0,52406.png,the <unk> century painting of a poster of individuals standing at a <unk> sign .
1,28391.png,the two black and white photo of a man dressed up <unk> at a snack in a poster .
2,14579.png,a crowd that is sitting on a motorcycle .
3,92413.png,a man wearing a suit and tie .
4,78351.png,2 men standing in a room .
5,16973.png,an advertisement park <unk> for transportation .
6,27398.png,an topped with two oranges on a table .
7,31649.png,a young boy wearing a costume while holding a picnic table with food in his hands .
8,86593.png,a young boy sitting down with a baby .
9,75406.png,an attractive woman is on the phone .
10,30684.png,a lighted open half hidden <unk> a <unk> photograph of a waffles with a chocolate cake sitting in the sun .
11,90576.png,an elderly man standing in front of his neck .
12,62043.png,a man wearing a uniform and hat standing by a good walk by some sort of a motorcycle .
13,58329.png,a bird that is on it .
14,10965.png,a boy with a racquet .
15,71360.png,the president is looking at the words something .
16,38742.png,<unk> rubber gloves hanging out of another kid is next to a stop sign .
17,30492.png,a close up of a young fellow at his face .
18,21479.png,a boy with long legs of a child is laying down holding a large smile .
19,64125.png,a man looking through his ear .
20,27456.png,a close up of a thin wooden paws .
21,28970.png,a number of men in nature .
22,56378.png,a man in a tie standing down the trees .
23,97415.png,an <unk> banana sitting outside .
24,12678.png,a man with a black turban getting his picture taken .
25,82539.png,a group of people standing at bench reading .
26,71430.png,a woman wearing tour clothing .
27,60158.png,three photos show no image of guys standing outside on a girl are in a necktie standing in front of people holding various hats .
28,26397.png,a man on a boat on a river .
29,80526.png,black and white picture of two men looking down holding a <unk> <unk> reads <unk> into a <unk> showing for 11 <unk> .
30,98170.png,a man is holding one talking to holding a mobile phone .
31,98624.png,a close up of a banana in it's mouth .
32,62409.png,three gentleman standing next to a sign .
33,41207.png,an old black and white photograph of a black and white photo of three images of a girl standing in baseball team photo with rackets with mini horses .
34,43695.png,a blue and white man wearing a suit holding a similar union <unk> .
35,52376.png,a couple standing on a crowded retail business district .
36,84627.png,three framed picture of a monkey shaped like an image of a dog in a black jacket <unk> through a forest .
37,01452.png,a couple of people sitting on apple and sitting on a couch .
38,73256.png,a person doing tricks gear .
39,47903.png,a female with formally dressed up dress on that has been knitted ears is posing for a picture of a <unk> <unk> .
40,78302.png,a person wearing a <unk> shirt .
41,27154.png,a cake on a white plate .
42,38105.png,an old black and white with a man is wearing a suit jacket and tie .
43,85126.png,the young man has the neck with <unk> .
44,90531.png,black and white photo of a man standing in a picture with double stacked at an outdoor pirate at a hand filled with an outdoor pirate to pose for a picture of the man in a tennis racquet .
45,58793.png,woman in a kitchen .
46,24389.png,a small man bench shirtless men working on <unk> .
47,47015.png,two women standing together with many american flags and hair in front of a cake .
48,90257.png,older <unk> of an older gentleman standing beside a gray and teal pose for a pic on top of a table .
49,20173.png,a man with an ear for the camera and a man in black and white photograph <unk> sky with a marker .
50,43795.png,a toddler standing in a kitchen .
51,51627.png,an older man is wearing a shirt and a large watch a man in a crowd watches .
52,23967.png,a close up of a man wearing a suit and tie .
53,94016.png,a man and child brushing a baby are with an umbrella and one holding a stuffed bear .
54,75821.png,a woman putting a baby under a wooden cart at a building .
55,89504.png,two men <unk> are on another .
56,65439.png,a <unk> of a plane flies before another .
57,71389.png,a man holding a face as she is peeking in his hands .
58,76152.png,a man in color with eye lens .
59,06387.png,a man sitting in a black suit .
60,46150.png,a man in bright clothing high over it .
61,68745.png,a person is outside of a white hat and uniform .
62,67913.png,a man with glasses in a tie making a neck tie holding a banana to swing for a call .
63,64839.png,an old black and white picture of tennis players standing together and one prepares to cross walking for a friendly tennis racquet .
64,62143.png,the <unk> into a ear while this picture .
65,49176.png,a man and tie with black and tie as well dressed nicely dressed up tie .
66,94780.png,altered photograph of a young boy is holding a baby cap looks at a ball bat .
67,79316.png,a girl riding a large <unk> with a frisbee in a park .
68,26439.png,a woman holding a cell phone .
69,04326.png,a shirtless child and holding a banana onto a banana .
70,08943.png,a young woman with pink hair poses with a hug coming into an adult .
71,49785.png,a dark photo of an opening ceremony for a dark background .
72,39158.png,three ladies sitting around each other holding a blue shirt is <unk> at the restaurant .
73,45082.png,a male skateboarder jumps up on a road .
74,89076.png,this five security <unk> of three photos in home an <unk> female in suit and <unk> for the best sampling a working holding a smoothie .
75,03145.png,the <unk> on <unk> <unk> to a large banana .
76,81296.png,a man is cooking in small beneath it .
77,59726.png,a woman sitting at her <unk> girl's ear taking a picture of a cell phone next to the talking on a cell phone standing .
78,10469.png,a red fire pit with eye navy <unk> and red every surface featuring a desktop young man looks on .
79,30864.png,a man dressed in a <unk> .
80,79036.png,a man taking a picture of a man up to his ear and a gray cloud striped tie .
81,37419.png,a man in sunglasses looking down at a very intense look like a piece of <unk> 
 .
82,37096.png,an old man in a suit and tie standing at a gas mask is dressed up .
83,83456.png,a image of a man in a jeans wearing a hat posing for a caption for .
84,29354.png,a group of people in a populated area .
85,74580.png,a snow blocks in front of a large sign in the camera to catch a deep snow .
86,31025.png,an <unk> man standing on a brick wall and smoking .
87,50638.png,a young man holding a frisbee in a park .
